date,traffic
2024-01-01,1250
2024-01-02,1255
2024-01-03,1260
2024-01-04,1265
2024-01-05,1270
2024-01-06,1145
2024-01-07,1150
2024-01-08,1285
2024-01-09,1290
2024-01-10,1295
2024-01-11,1300
2024-01-12,1305
2024-01-13,1180
2024-01-14,1185
2024-01-15,1320
2024-01-16,1325
2024-01-17,1330
2024-01-18,1335
2024-01-19,1340
2024-01-20,1215
2024-01-21,1220
2024-01-22,1355
2024-01-23,1360
2024-01-24,1365
2024-01-25,1370
2024-01-26,1375
2024-01-27,1250
2024-01-28,1255
2024-01-29,1390
2024-01-30,1395
2024-01-31,1400
2024-02-01,1405
2024-02-02,1410
2024-02-03,1285
2024-02-04,1290
2024-02-05,1425
2024-02-06,1430
2024-02-07,1435
2024-02-08,1440
2024-02-09,1445
2024-02-10,1320
2024-02-11,1325
2024-02-12,1460
2024-02-13,1465
2024-02-14,1470
2024-02-15,1475
2024-02-16,1480
2024-02-17,1355
2024-02-18,1360
2024-02-19,1495
2024-02-20,1500
2024-02-21,1505
2024-02-22,1510
2024-02-23,1515
2024-02-24,1390
2024-02-25,1395
2024-02-26,1530
2024-02-27,1535
2024-02-28,1540
2024-02-29,1545
